Year,Home or Away ,Outcome ,Format
2012,Home,Win,Test
2012,Home,Win,Test
2012,Home,Loss,Test
2012,Home,Draw,Test
2012,Home,Draw,Test
2012,Away,Win,Test
2012,Away,Draw,Test
2012,Away,Win,Test
2012,Home,Win,Test
2012,Home,Win,Test
2012,Home,Win,Test
2013,Home,Win,Test
2013,Home,Win,Test
2013,Home,Win,Test
2013,Home,Win,Test
2013,Away,Draw,Test
2013,Away,Loss,Test
2013,Away,Draw,Test
2013,Away,Loss,Test
2013,Away,Loss,Test
2013,Away,Loss,Test
2013,Away,Loss,Test
2013,Away,Loss,Test
2013,Away,Loss,Test
2013,Home,Win,Test
2014,Home,Draw,Test
2014,Home,Win,Test
2014,Home,Win,Test
2014,Home,Loss,Test
2014,Home,Loss,Test
2014,Away,Win,Test
2014,Away,Loss,Test
2014,Away,Win,Test
2014,Home,Win,Test
2015,Home,Win,Test
2015,Home,Win,Test
2015,Home,Win,Test
2015,Home,Draw,Test
2015,Home,Win,Test
2015,Away,Win,Test
2015,Away,Loss,Test
2015,Away,Loss,Test
2015,Away,Win,Test
2015,Away,Loss,Test
2015,Away,Win,Test
2015,Away,Win,Test
2015,Home,Draw,Test
2016,Home,Win,Test
2016,Home,Win,Test
2016,Home,Win,Test
2016,Home,Loss,Test
2016,Home,Loss,Test
2016,Away,Loss,Test
2016,Away,Loss,Test
2016,Away,Loss,Test
2016,Away,Win,Test
2016,Away,Win,Test
2016,Home,Draw,Test
2017,Home,Draw,Test
2017,Home,Win,Test
2017,Home,Win,Test
2017,Home,Win,Test
2017,Away,Win,Test
2017,Away,Loss,Test
2017,Away,Loss,Test
2017,Away,Draw,Test
2017,Away,Loss,Test
2017,Away,Win,Test
2017,Home,Win,Test
2018,Home,Loss,Test
2018,Home,Win,Test
2018,Home,Loss,Test
2018,Home,Loss,Test
2018,Home,Draw,Test
2018,Away,Loss,Test
2018,Away,Loss,Test
2018,Away,Win,Test
2018,Home,Win,Test
2019,Home,Win,Test
2019,Home,Win,Test
2019,Home,Win,Test
2019,Home,Win,Test
2019,Away,Loss,Test
2019,Away,Win,Test
2019,Away,Loss,Test
2019,Away,Draw,Test
2019,Away,Win,Test
2019,Home,Win,Test
2019,Home,Win,Test
2019,Home,Draw,Test
2020,Home,Loss ,Test
2020,Home,Win ,Test
2020,Home,Win ,Test
2021,Home,Win,Test
2021,Home,Win,Test
2021,Home,Win,Test
2021,Home,Loss ,Test
2021,Home,Draw,Test
2022,Home,Win,Test
2022,Home,Win,Test
2022,Home,Win,Test
2022,Home,Win,Test
2022,Home,Win,Test
2022,Home,Draw,Test
2022,Away,Loss ,Test
2022,Away,Win,Test
2022,Away,Win,Test
2022,Away,Draw,Test
2022,Away,Draw,Test
2012,Home,Win,ODI
2012,Home,Loss,ODI
2012,Home,Win,ODI
2012,Away,Win,ODI
2012,Away,Loss,ODI
2012,Away,Loss,ODI
2012,Away,Loss,ODI
2012,Away,Loss,ODI
2012,Away,Draw,ODI
2012,Away,Win,ODI
2012,Away,Loss,ODI
2012,Away,Draw,ODI
2012,Away,Loss,ODI
2012,Away,Win,ODI
2012,Home,Win,ODI
2012,Home,Loss,ODI
2012,Home,Win,ODI
2012,Home,Loss,ODI
2012,Home,Win,ODI
2012,Home,Loss,ODI
2012,Home,Win,ODI
2012,Home,Loss,ODI
2012,Home,Loss,ODI
2012,Home,Win,ODI
2012,Home,Win,ODI
2013,Away,Loss,ODI
2013,Away,Loss,ODI
2013,Away,Draw,ODI
2013,Away,Win,ODI
2013,Away,Loss,ODI
2013,Away,Win,ODI
2013,Away,Win,ODI
2013,Away,Loss,ODI
2013,Away,Draw,ODI
2013,Away,Win,ODI
2013,Away,Win,ODI
2013,Home,Loss,ODI
2013,Home,Loss,ODI
2013,Away,Loss,ODI
2013,Home,Win,ODI
2013,Home,Win,ODI
2013,Home,Win,ODI
2013,Home,Win,ODI
2013,Home,Win,ODI
2013,Home,Win,ODI
2013,Home,Draw,ODI
2013,Home,Loss,ODI
2013,Home,Loss,ODI
2013,Home,Win,ODI
2014,Home,Win,ODI
2014,Home,Win,ODI
2014,Home,Win,ODI
2014,Home,Win,ODI
2014,Home,Win,ODI
2014,Home,Win,ODI
2014,Home,Win,ODI
2014,Home,Win,ODI
2014,Home,Loss,ODI
2014,Home,Win,ODI
2014,Away,Loss,ODI
2014,Home,Loss,ODI
2014,Away,Win,ODI
2014,Home,Win,ODI
2014,Home,Loss,ODI
2014,Home,Win,ODI
2014,Home,Win,ODI
2014,Home,Win,ODI
2015,Away,Win,ODI
2015,Away,Loss,ODI
2015,Away,Loss,ODI
2015,Away,Win,ODI
2015,Away,Win,ODI
2015,Away,Win,ODI
2015,Home,Win,ODI
2015,Home,Win,ODI
2015,Home,Win,ODI
2015,Home,Win,ODI
2015,Home,Win,ODI
2015,Home,Win,ODI
2015,Away,Loss,ODI
2015,Home,Win,ODI
2015,Home,Win,ODI
2015,Home,Draw,ODI
2015,Home,Win,ODI
2015,Home,Win,ODI
2015,Home,Win,ODI
2016,Home,Win,ODI
2016,Home,Win,ODI
2016,Home,Win,ODI
2016,Away,Loss,ODI
2016,Away,Loss,ODI
2016,Away,Loss,ODI
2016,Away,Loss,ODI
2016,Away,Loss,ODI
2016,Away,Loss,ODI
2016,Home,Win,ODI
2016,Away,Win,ODI
2016,Away,Win,ODI
2016,Away,Win,ODI
2016,Away,Loss,ODI
2016,Away,Win,ODI
2016,Away,Win,ODI
2016,Away,Win,ODI
2016,Home,Draw,ODI
2016,Away,Loss,ODI
2016,Home,Win,ODI
2016,Home,Loss,ODI
2016,Away,Win,ODI
2016,Away,Loss,ODI
2016,Away,Win,ODI
2016,Away,Loss,ODI
2016,Home,Loss,ODI
2016,Home,Win,ODI
2016,Home,Win,ODI
2016,Home,Win,ODI
2016,Home,Win,ODI
2017,Away,Loss,ODI
2017,Away,Win,ODI
2017,Away,Loss,ODI
2017,Away,Loss,ODI
2017,Away,Loss,ODI
2017,Away,Loss,ODI
2017,Away,Loss,ODI
2017,Away,Loss,ODI
2017,Away,Loss,ODI
2017,Home,Win,ODI
2017,Home,Win,ODI
2017,Home,Loss,ODI
2017,Home,Win,ODI
2018,Home,Loss,ODI
2018,Home,Win,ODI
2018,Home,Loss,ODI
2018,Away,Loss,ODI
2018,Away,Loss,ODI
2018,Away,Loss,ODI
2018,Away,Loss,ODI
2018,Away,Loss,ODI
2018,Home,Loss,ODI
2018,Home,Win,ODI
2018,Home,Loss,ODI
2018,Home,Loss,ODI
2018,Home,Loss,ODI
2019,Away,Loss,ODI
2019,Home,Loss,ODI
2019,Home,Win,ODI
2019,Away,Win,ODI
2019,Home,Win,ODI
2019,Home,Win,ODI
2019,Home,Win,ODI
2019,Home,Loss,ODI
2019,Home,Win,ODI
2019,Away,Win,ODI
2019,Home,Win,ODI
2019,Home,Win,ODI
2019,Home,Win,ODI
2019,Home,Win,ODI
2019,Home,Win,ODI
2019,Away,Win,ODI
2019,Away,Win,ODI
2019,Away,Win,ODI
2019,Away,Loss,ODI
2019,Away,Loss,ODI
2019,Home,Loss,ODI
2019,Home,Loss,ODI
2019,Home,Win,ODI
2020,Home,Loss,ODI
2020,Home,Win,ODI
2020,Home,Win,ODI
2020,Home,Win,ODI
2020,Away,Win,ODI
2020,Away,Loss,ODI
2020,Away,Win,ODI
2020,Away,Loss,ODI
2020,Away,Loss,ODI
2020,Away,Loss,ODI
2020,Away,Loss,ODI
2020,Away,Loss,ODI
2020,Away,Win,ODI
2021,Away,Win,ODI
2021,Away,Loss,ODI
2021,Away,Win,ODI
2022,Home,Win,ODI
2022,Home,Win,ODI
2022,Home,Win,ODI
2022,Home,Win,ODI
2022,Home,Win,ODI
2022,Home,Win,ODI
2022,Home,Win,ODI
2022,Home,Win,ODI
2022,Home,Win,ODI
2022,Away,Win,ODI
2022,Away,Loss,ODI
2022,Away,Loss,ODI
2022,Away,Loss,ODI
2022,Away,Win,ODI
2022,Away,Loss,ODI
2022,Away,Loss,ODI
2022,Away,Win,ODI
2012,Home,Loss,T20I
2012,Home,Loss,T20I
2012,Home,Win,T20I
2012,Home,Win,T20I
2012,Home,Win,T20I
2012,Home,Win,T20I
2012,Home,Win,T20I
2012,Home,Draw,T20I
2012,Home,Loss,T20I
2012,Away,Loss,T20I
2012,Away,Win,T20I
2012,Home,Loss,T20I
2012,Home,Win,T20I
2013,Away,Loss,T20I
2013,Away,Loss,T20I
2013,Away,Win,T20I
2013,Home,Loss,T20I
2013,Home,Loss,T20I
2013,Home,Loss,T20I
2014,Home,Win,T20I
2014,Home,Win,T20I
2014,Home,Loss,T20I
2014,Home,Win,T20I
2014,Away,Win,T20I
2014,Home,Loss,T20I
2014,Home,Loss,T20I
2014,Home,Loss,T20I
2014,Away,Win,T20I
2014,Away,Win,T20I
2014,Home,Win,T20I
2014,Home,Win,T20I
2014,Home,Win,T20I
2015,Away,Loss,T20I
2016,Away,Win,T20I
2016,Away,Win,T20I
2016,Away,Loss,T20I
2016,Home,Win,T20I
2016,Home,Win,T20I
2016,Home,Loss,T20I
2016,Away,Win,T20I
2016,Away,Win,T20I
2016,Away,Loss,T20I
2016,Home,Loss,T20I
2016,Home,Loss,T20I
2016,Home,Loss,T20I
2017,Away,Win,T20I
2017,Away,Loss,T20I
2017,Home,Win,T20I
2017,Home,Loss,T20I
2017,Home,Loss,T20I
2018,Home,Loss,T20I
2018,Home,Win,T20I
2018,Home,Loss,T20I
2018,Home,Loss,T20I
2018,Home,Loss,T20I
2018,Home,Loss,T20I
2018,Away,Win,T20I
2018,Home,Loss,T20I
2018,Away,Win,T20I
2018,Home,Loss,T20I
2018,Away,Win,T20I
2018,Home,Win,T20I
2018,Away,Loss,T20I
2018,Away,Win,T20I
2018,Away,Win,T20I
2018,Home,Win,T20I
2018,Home,Win,T20I
2018,Home,Win,T20I
2019,Home,Win,T20I
2019,Home,Win,T20I
2019,Home,Win,T20I
2019,Home,Win,T20I
2019,Home,Win,T20I
2019,Away,Win,T20I
2019,Away,Win,T20I
2020,Home,Win,T20I
2020,Home,Loss,T20I
2020,Home,Loss,T20I
2020,Away,Win,T20I
2020,Away,Loss,T20I
2020,Away,Loss,T20I
2020,Away,Win,T20I
2020,Away,Loss,T20I
2020,Away,Win,T20I
2021,Home,Win,T20I
2021,Home,Win,T20I
2021,Home,Win,T20I
2021,Home,Win,T20I
2021,Home,Loss,T20I
2021,Home,Win,T20I
2021,Home,Win,T20I
2021,Away,Loss,T20I
2021,Away,Win,T20I
2021,Away,Loss,T20I
2021,Away,Loss,T20I
2021,Away,Loss,T20I
2021,Away,Loss,T20I
2021,Away,Win,T20I
2021,Away,Loss,T20I
2021,Away,Loss,T20I
2021,Away,Loss,T20I
2021,Away,Loss,T20I
2021,Away,Win,T20I
2021,Away,Win,T20I
2021,Away,Loss,T20I
2021,Away,Loss,T20I
2022,Home,Win,T20I
2022,Home,Win,T20I
2022,Home,Win,T20I
2022,Home,Loss,T20I
2022,Home,Draw,T20I
2022,Home,Loss,T20I
2022,Home,Loss,T20I
2022,Home,Win,T20I
2022,Home,Win,T20I
2022,Away,Loss,T20I
2022,Away,Loss,T20I
2022,Away,Win,T20I
2022,Away,Loss,T20I
2022,Away,Win,T20I
2022,Away,Win,T20I
2022,Home,Win,T20I
2022,Home,Loss,T20I
2022,Home,Win,T20I
2022,Home,Win,T20I
2022,Home,Win,T20I
2022,Home,Loss,T20I
2022,Home,Win,T20I
